"","weight","hindfoot_length","sex","species_id"
"283",150,53,"M","DS"
"284",44,38,"M","DM"
"285",40,36,"F","DM"
"286",126,50,"F","DS"
"287",122,51,"F","DS"
"288",136,50,"F","DS"
"289",116,48,"F","DS"
"290",38,36,"F","DM"
"291",39,37,"F","DM"
"292",135,49,"F","DS"
"293",46,36,"M","DM"
"294",133,50,"M","DS"
"295",136,53,"M","DS"
"296",141,51,"F","DS"
"297",38,36,"F","DM"
"298",35,36,"F","DM"
"299",51,38,"M","DM"
"300",33,34,"F","DM"
"301",47,38,"M","DM"
"302",49,36,"M","DM"
"303",157,53,"M","DS"
"304",51,35,"M","DM"
"305",38,39,"F","DM"
"306",7,16,"F","PF"
"307",45,39,"M","DM"
"308",52,38,"M","DM"
"309",50,38,"M","DM"
"310",51,37,"M","DM"
"311",39,33,"F","DM"
"312",23,15,"F","OT"
"313",40,37,"F","DM"
"314",41,36,"M","DM"
"315",46,37,"M","DM"
"316",25,22,"M","PE"
"317",39,36,"F","DM"
"318",42,34,"F","DM"
"319",39,37,"M","DM"
"320",23,20,"F","OT"
"321",124,49,"F","DS"
"322",114,49,"F","DS"
"323",44,36,"M","DM"
"324",48,38,"M","DM"
"325",44,39,"F","DM"
"326",132,49,"F","DS"
"327",137,46,"F","DS"
"328",39,35,"M","DM"
"329",56,35,"F","DM"
"330",35,20,"F","OL"
"331",22,18,"F","OT"
"332",25,20,"M","OT"
"333",154,55,"M","DS"
"334",49,38,"M","DM"
"335",44,36,"F","DM"
"336",35,38,"F","DM"
"337",36,37,"F","DM"
"338",39,35,"F","DM"
"339",133,50,"F","DS"
"340",50,38,"M","DM"
"341",43,36,"M","DM"
"342",40,35,"F","DM"
"343",45,38,"M","DM"
"344",44,38,"M","DM"
"345",228,32,"M","NL"
"346",144,52,"F","DS"
"347",46,37,"F","DM"
"348",48,35,"M","DM"
"349",7,15,"F","PF"
"350",45,38,"M","DM"
"351",8,14,"M","PF"
"352",133,47,"F","DS"
"353",40,37,"F","DM"
"354",232,32,"M","NL"
"355",128,49,"F","DS"
"356",153,54,"M","DS"
"357",22,21,"F","OT"
"358",21,20,"F","OT"
"359",53,37,"M","DM"
"360",8,15,"F","PF"
"361",25,18,"M","OT"
"362",43,35,"M","DM"
"363",43,35,"F","DM"
"364",38,21,"M","OL"
"365",42,35,"F","DM"
"366",26,21,"M","OT"
"367",146,50,"F","DS"
"368",25,20,"F","OT"
"369",28,20,"M","PE"
"370",8,15,"M","PF"
"371",122,49,"M","DS"
"372",137,52,"M","DS"
"373",131,49,"M","DS"
"374",125,49,"F","DS"
"375",43,35,"M","DM"
"376",141,48,"F","DS"
"377",138,53,"M","DS"
"378",43,36,"M","DM"
"379",124,50,"F","DS"
"380",43,37,"F","DM"
"381",45,37,"F","DM"
"382",46,36,"M","DM"
"383",43,36,"F","DM"
"384",49,37,"M","DM"
"385",47,35,"M","DM"
"386",26,20,"M","OT"
"387",152,49,"M","DS"
"388",44,37,"F","DM"
"389",48,36,"M","DM"
"390",29,15,"M","OT"
"391",49,36,"M","DM"
"392",45,35,"M","DM"
"393",57,35,"M","DO"
"394",134,47,"F","DS"
"395",44,37,"F","DM"
"396",35,16,"F","OT"
"397",48,37,"M","DM"
"398",46,36,"M","DM"
"399",110,47,"F","DS"
"400",26,37,"M","DM"
"401",44,35,"M","DM"
"402",48,37,"M","DM"
"403",39,36,"M","DM"
"404",44,37,"M","DM"
"405",45,37,"M","DM"
"406",27,20,"M","OT"
"407",36,36,"M","DM"
"408",45,37,"F","DM"
"409",47,37,"M","DM"
"410",90,47,"F","DS"
"411",49,39,"M","DM"
"412",131,52,"M","DS"
"413",114,50,"F","DS"
"414",42,36,"M","DM"
"415",148,52,"M","DS"
"416",76,50,"F","DS"
"417",141,53,"M","DS"
"418",42,34,"F","DM"
"419",121,49,"F","DS"
"420",44,35,"M","DM"
"421",55,33,"F","DO"
"422",133,50,"M","DS"
"423",142,50,"M","DS"
"424",142,48,"F","DS"
"425",46,36,"F","DM"
"426",50,35,"F","DM"
"427",142,46,"F","DS"
"428",84,48,"F","DS"
"429",42,34,"M","DM"
"430",142,47,"F","DS"
"431",118,47,"F","DS"
"432",43,35,"F","DM"
"433",132,51,"F","DS"
"434",75,47,"F","DS"
"435",168,55,"M","DS"
"436",43,38,"F","DM"
"437",84,46,"F","DS"
"438",87,49,"F","DS"
"439",42,35,"F","DM"
"440",41,34,"F","DM"
"441",140,48,"F","DS"
"442",40,33,"F","DM"
"443",45,38,"M","DM"
"444",18,20,"M","OT"
"445",47,36,"M","DM"
"446",89,48,"M","DS"
"447",51,38,"M","DM"
"448",8,14,"M","PF"
"449",47,38,"M","DM"
"450",149,53,"M","DS"
"451",124,49,"F","DS"
"452",73,48,"F","DS"
"453",48,37,"M","DM"
"454",139,51,"M","DS"
"455",41,37,"M","DM"
"456",41,38,"F","DM"
"457",114,50,"F","DS"
"458",59,46,"F","DS"
"459",204,32,"M","NL"
"460",45,35,"M","DM"
"461",212,32,"M","NL"
"462",43,36,"M","DM"
"463",91,48,"F","DS"
"464",50,46,"M","DS"
"465",44,36,"M","DM"
"466",113,49,"F","DS"
"467",36,36,"M","DM"
"468",50,37,"F","DM"
"469",9,13,"F","OT"
"470",29,19,"F","OL"
"471",137,52,"M","DS"
"472",57,48,"M","DS"
"473",31,37,"F","DM"
"474",41,37,"F","DM"
"475",37,37,"M","DM"
"476",83,50,"F","DS"
"477",174,33,"F","NL"
"478",116,49,"F","DS"
"479",130,52,"M","DS"
"480",40,37,"M","DM"
"481",212,33,"F","NL"
"482",41,36,"M","DM"
"483",83,50,"F","DS"
"484",41,35,"F","DM"
"485",118,52,"M","DS"
"486",22,20,"F","PM"
"487",102,49,"M","DS"
"488",42,36,"M","DM"
"489",29,34,"F","DM"
"490",23,34,"M","DM"
"491",138,50,"F","DS"
"492",131,49,"M","DS"
"493",41,35,"M","DM"
"494",115,50,"F","DS"
"495",121,48,"F","DS"
"496",38,35,"F","DM"
"497",126,50,"M","DS"
"498",120,50,"F","DS"
"499",15,21,"M","PP"
"500",29,35,"F","DM"
"501",43,33,"F","DM"
"502",41,37,"M","DM"
"503",68,48,"F","DS"
"504",97,52,"F","DS"
"505",21,33,"M","DM"
"506",21,34,"M","DM"
"507",44,36,"F","DM"
"508",18,33,"M","DO"
"509",40,36,"M","DM"
"510",41,37,"F","DM"
"511",129,48,"F","DS"
"512",42,37,"M","DM"
"513",24,18,"F","OT"
"514",108,50,"F","DS"
"515",160,52,"M","DS"
"516",30,21,"F","OT"
"517",54,35,"M","DO"
"518",7,15,"F","PF"
"519",125,48,"F","DS"
"520",100,50,"M","DS"
"521",21,34,"M","DM"
"522",49,37,"M","DM"
"523",35,36,"M","DM"
"524",37,35,"M","DO"
"525",64,48,"F","DS"
"526",54,48,"M","DS"
"527",44,36,"M","DM"
"528",90,46,"F","DS"
"529",39,37,"F","DM"
"530",13,20,"F","PP"
"531",114,47,"F","DS"
"532",46,38,"M","DM"
"533",110,51,"F","DS"
"534",119,51,"M","DS"
"535",29,36,"M","DM"
"536",48,32,"M","DM"
"537",124,50,"F","DS"
"538",84,49,"F","DS"
"539",43,36,"F","DM"
"540",43,33,"F","DM"
"541",40,37,"M","DM"
"542",120,49,"F","DS"
"543",55,34,"F","DO"
"544",29,21,"F","OL"
"545",26,34,"F","DM"
"546",115,52,"F","DS"
"547",45,36,"M","DM"
"548",70,47,"M","DS"
"549",123,49,"F","DS"
"550",16,33,"F","DM"
"551",42,36,"F","DM"
"552",125,47,"F","DS"
"553",55,36,"M","DO"
"554",117,47,"F","DS"
"555",133,50,"M","DS"
"556",36,36,"M","DM"
"557",29,35,"M","DM"
"558",99,49,"F","DS"
"559",7,13,"M","PF"
"560",8,15,"M","PF"
"561",135,32,"F","NL"
"562",100,47,"F","DS"
"563",98,49,"F","DS"
"564",43,35,"F","DM"
"565",8,15,"F","PF"
"566",23,34,"M","DO"
"567",12,18,"M","OT"
"568",124,51,"M","DS"
"569",15,21,"M","PP"
"570",84,51,"F","DS"
"571",24,36,"M","DM"
"572",122,50,"M","DS"
"573",17,23,"M","PP"
"574",46,38,"M","DM"
"575",149,54,"M","DS"
"576",23,33,"F","DM"
"577",8,16,"M","PF"
"578",136,48,"F","DS"
"579",102,49,"M","DS"
"580",122,51,"F","DS"
"581",40,34,"F","DM"
"582",71,46,"F","DS"
"583",42,34,"F","DM"
"584",160,53,"M","DS"
"585",82,50,"F","DS"
"586",134,54,"M","DS"
"587",38,37,"M","DM"
"588",40,37,"F","DM"
"589",37,32,"F","DM"
"590",29,20,"F","OT"
"591",107,47,"F","DS"
"592",100,52,"M","DS"
"593",32,46,"M","DS"
"594",38,35,"M","DO"
"595",73,50,"F","DS"
"596",119,49,"F","DS"
"597",50,36,"F","DM"
"598",43,36,"M","DM"
"599",59,49,"F","DS"
"600",48,38,"M","DM"
"601",58,49,"M","DS"
"602",41,37,"M","DM"
"603",81,49,"F","DS"
"604",93,50,"M","DS"
"605",28,35,"M","DM"
"606",44,22,"M","OL"
"607",28,19,"F","OT"
"608",24,36,"F","DM"
"609",232,32,"M","NL"
"610",127,51,"F","DS"
"611",16,22,"M","PP"
"612",44,38,"F","DM"
"613",35,35,"M","DM"
"614",17,31,"M","DM"
"615",122,51,"F","DS"
"616",122,52,"M","DS"
"617",32,33,"F","DM"
"618",48,37,"F","DM"
"619",95,53,"M","DS"
"620",45,37,"M","DM"
"621",51,35,"M","DO"
"622",47,36,"M","DM"
"623",119,50,"F","DS"
"624",124,49,"F","DS"
"625",87,51,"F","DS"
"626",85,50,"F","DS"
"627",36,37,"M","DM"
"628",123,49,"F","DS"
"629",111,50,"F","DS"
"630",39,33,"F","DM"
"631",27,35,"M","DM"
"632",105,52,"F","DS"
"633",132,51,"M","DS"
"634",45,36,"F","DM"
"635",96,51,"F","DS"
"636",40,35,"F","DM"
"637",120,48,"F","DS"
"638",43,37,"M","DM"
"639",46,38,"F","DM"
"640",43,37,"F","DM"
"641",86,49,"F","DS"
"642",8,16,"M","PF"
"643",34,37,"M","DM"
"644",106,52,"M","DS"
"645",22,19,"F","OT"
"646",29,20,"F","OL"
"647",98,50,"F","DS"
"648",33,35,"M","DO"
"649",46,38,"M","DM"
"650",12,21,"F","PP"
"651",130,50,"M","DS"
"652",10,23,"F","PP"
"653",106,50,"M","DS"
"654",39,36,"F","DM"
"655",113,33,"M","NL"
"656",45,38,"F","DM"
"657",115,34,"F","NL"
"658",36,36,"F","DM"
"659",24,36,"M","DM"
"660",120,51,"F","DS"
"661",190,34,"M","NL"
"662",10,23,"M","PP"
"663",48,38,"M","DM"
"664",29,35,"F","DM"
"665",131,51,"F","DS"
"666",34,36,"F","DM"
"667",101,51,"M","DS"
"668",37,34,"F","DM"
"669",47,36,"F","DM"
"670",133,52,"M","DS"
"671",63,51,"M","DS"
"672",46,36,"M","DM"
"673",81,49,"F","DS"
"674",71,50,"M","DS"
"675",80,49,"F","DS"
"676",47,38,"F","DM"
"677",118,51,"F","DS"
"678",91,51,"M","DS"
"679",120,49,"F","DS"
"680",19,20,"M","PE"
"681",45,37,"M","DM"
"682",14,19,"F","PE"
"683",122,51,"F","DS"
"684",37,35,"M","DM"
"685",36,35,"F","DM"
"686",95,49,"F","DS"
"687",18,22,"M","PP"
"688",17,20,"M","OL"
"689",123,48,"F","DS"
"690",189,33,"M","NL"
"691",17,30,"F","DM"
"692",50,38,"M","DM"
"693",126,53,"M","DS"
"694",44,33,"F","DM"
"695",8,15,"M","PF"
"696",44,38,"M","DM"
"697",13,22,"F","PP"
"698",39,37,"M","DM"
"699",115,52,"F","DS"
"700",38,35,"M","DO"
"701",138,51,"M","DS"
"702",179,33,"F","NL"
"703",105,52,"M","DS"
"704",43,35,"F","DM"
"705",14,19,"M","PP"
"706",32,35,"M","DM"
"707",36,36,"F","DM"
"708",40,38,"M","DM"
"709",36,37,"M","DM"
"710",19,20,"M","PM"
"711",139,47,"F","DS"
"712",20,20,"M","OL"
"713",108,52,"F","DS"
"714",12,19,"M","OT"
"715",39,37,"F","DM"
"716",149,32,"F","NL"
"717",43,38,"F","DM"
"718",48,38,"M","DM"
"719",33,36,"F","DM"
"720",165,52,"M","DS"
"721",41,37,"F","DM"
"722",112,49,"M","DS"
"723",35,36,"F","DM"
"724",100,50,"F","DS"
"725",34,34,"F","DM"
"726",88,48,"F","DS"
"727",31,36,"F","DM"
"728",123,49,"F","DS"
"729",6,16,"F","PF"
"730",137,53,"M","DS"
"731",199,34,"M","NL"
"732",96,48,"M","DS"
"733",41,34,"F","DM"
"734",196,31,"F","NL"
"735",100,51,"M","DS"
"736",40,37,"M","DM"
"737",98,49,"F","DS"
"738",34,37,"F","DM"
"739",29,21,"F","OL"
"740",36,33,"F","DM"
"741",36,35,"M","DM"
"742",49,38,"M","DM"
"743",30,35,"M","DM"
"744",83,48,"F","DS"
"745",14,21,"F","PP"
"746",88,50,"F","DS"
"747",47,37,"F","DM"
"748",43,36,"F","DM"
"749",136,51,"F","DS"
"750",82,47,"F","DS"
"751",70,51,"M","DS"
"752",119,50,"F","DS"
"753",115,51,"F","DS"
"754",33,21,"F","OL"
"755",46,37,"M","DM"
"756",107,51,"M","DS"
"757",126,51,"M","DS"
"758",19,23,"M","PP"
"759",24,30,"F","PE"
"760",45,35,"F","DM"
"761",122,52,"F","DS"
"762",39,37,"F","DM"
"763",31,35,"F","DM"
"764",30,36,"M","DM"
"765",124,51,"F","DS"
"766",54,35,"M","DO"
"767",133,51,"F","DS"
"768",122,51,"F","DS"
"769",7,16,"M","PF"
"770",52,39,"M","DM"
"771",49,39,"M","DM"
"772",8,16,"M","PF"
"773",19,21,"M","PE"
"774",43,38,"M","DM"
"775",181,31,"F","NL"
"776",14,22,"F","PP"
"777",24,20,"M","OT"
"778",128,50,"F","DS"
"779",136,51,"M","DS"
"780",100,50,"F","DS"
"781",44,34,"F","DM"
"782",13,22,"M","PP"
"783",40,36,"F","DM"
"784",41,38,"M","DM"
"785",6,16,"M","PF"
"786",127,51,"M","DS"
"787",7,15,"M","PF"
"788",24,21,"M","OL"
"789",134,49,"F","DS"
"790",20,20,"F","OT"
"791",15,22,"M","PP"
"792",125,50,"F","DS"
"793",100,50,"F","DS"
"794",13,20,"F","PE"
"795",37,34,"M","DM"
"796",40,35,"F","DM"
"797",114,47,"F","DS"
"798",110,52,"F","DS"
"799",41,38,"M","DM"
"800",8,15,"M","PF"
"801",47,38,"M","DM"
"802",141,34,"F","NL"
"803",46,38,"F","DM"
"804",40,36,"F","DM"
"805",36,21,"M","OL"
"806",107,52,"M","DS"
"807",39,37,"F","DM"
"808",27,21,"M","OT"
"809",13,21,"F","PP"
"810",47,36,"M","DM"
"811",134,48,"F","DS"
"812",197,32,"M","NL"
"813",39,36,"F","DM"
"814",86,48,"F","DS"
"815",15,20,"F","PP"
"816",6,16,"F","PF"
"817",158,53,"M","DS"
"818",118,51,"M","DS"
"819",123,48,"F","DS"
"820",41,38,"F","DM"
"821",49,35,"F","DM"
"822",124,51,"M","DS"
"823",42,36,"F","DM"
"824",106,51,"F","DS"
"825",7,17,"F","PF"
"826",38,35,"M","DM"
"827",47,38,"F","DM"
"828",114,49,"F","DS"
"829",140,52,"M","DS"
"830",6,16,"F","PF"
"831",20,20,"F","PE"
"832",45,33,"M","DO"
"833",118,32,"M","NL"
"834",28,20,"F","OT"
"835",112,48,"F","DS"
"836",20,19,"M","OT"
"837",47,36,"F","DM"
"838",38,37,"F","DM"
"839",77,47,"F","DS"
"840",126,51,"F","DS"
"841",19,21,"M","PP"
"842",16,18,"F","PE"
"843",138,52,"F","DS"
"844",125,52,"F","DS"
"845",106,51,"F","DS"
"846",43,34,"M","DM"
"847",38,37,"F","DM"
"848",17,20,"M","PE"
"849",37,36,"F","DM"
"850",120,47,"F","DS"
"851",38,34,"F","DM"
"852",125,50,"M","DS"
"853",51,36,"F","DM"
"854",41,36,"F","DM"
"855",18,20,"M","OT"
"856",45,34,"F","DM"
"857",30,20,"M","OL"
"858",118,50,"F","DS"
"859",108,50,"M","DS"
"860",30,20,"M","OL"
"861",45,37,"M","DM"
"862",15,21,"F","PP"
"863",35,35,"F","DM"
"864",50,36,"M","DO"
"865",41,37,"F","DM"
"866",112,51,"F","DS"
"867",41,37,"F","DM"
"868",129,50,"F","DS"
"869",131,52,"M","DS"
"870",45,34,"M","DO"
"871",41,35,"F","DM"
"872",40,36,"M","DM"
"873",134,52,"M","DS"
"874",132,50,"M","DS"
"875",42,37,"F","DM"
"876",121,50,"F","DS"
"877",120,51,"F","DS"
"878",98,50,"F","DS"
"879",124,50,"F","DS"
"880",48,38,"M","DM"
"881",118,49,"F","DS"
"882",37,37,"M","DM"
"883",99,50,"F","DS"
"884",6,15,"F","PF"
"885",38,38,"M","DM"
"886",41,35,"F","DM"
"887",35,36,"F","DM"
"888",6,15,"M","PF"
"889",36,35,"F","DM"
"890",20,21,"F","OT"
"891",19,20,"M","OT"
"892",37,36,"F","DM"
"893",7,15,"F","PF"
"894",131,52,"M","DS"
"895",37,37,"F","DM"
"896",113,48,"M","DS"
"897",112,49,"M","DS"
"898",121,50,"F","DS"
"899",149,53,"M","DS"
"900",110,52,"F","DS"
"901",16,21,"F","PP"
"902",38,37,"M","DM"
"903",39,36,"F","DM"
"904",115,53,"M","DS"
"905",7,15,"F","PF"
"906",135,51,"F","DS"
"907",20,23,"M","PP"
"908",102,48,"F","DS"
"909",16,21,"M","PP"
"910",45,38,"M","DM"
"911",6,16,"F","PF"
"912",25,20,"F","OT"
"913",42,38,"F","DM"
"914",46,36,"F","DM"
"915",106,48,"F","DS"
"916",24,20,"F","OL"
"917",7,15,"F","PF"
"918",120,51,"F","DS"
"919",37,37,"F","DM"
"920",25,20,"M","OT"
"921",34,20,"M","OL"
"922",45,36,"M","DM"
"923",39,36,"M","DM"
"924",42,35,"M","DM"
"925",37,36,"F","DM"
"926",120,50,"F","DS"
"927",116,50,"F","DS"
"928",6,15,"M","PF"
"929",124,49,"F","DS"
"930",39,36,"F","DM"
"931",125,47,"F","DS"
"932",23,20,"F","OT"
"933",38,37,"F","DM"
"934",32,36,"M","DM"
"935",40,33,"F","DM"
"936",54,35,"M","DO"
"937",33,20,"M","OL"
"938",126,50,"F","DS"
"939",136,48,"M","DS"
"940",28,20,"F","OL"
"941",37,35,"F","DM"
"942",39,35,"F","DM"
"943",42,35,"F","DM"
"944",45,32,"F","DO"
"945",39,33,"F","DM"
"946",21,20,"M","OT"
"947",22,21,"F","OT"
"948",130,52,"M","DS"
"949",101,50,"F","DS"
"950",45,31,"F","DO"
"951",129,49,"F","DS"
"952",45,37,"M","DM"
"953",6,15,"F","PF"
"954",45,37,"M","DM"
"955",130,50,"M","DS"
"956",39,37,"M","DM"
"957",108,46,"F","DS"
"958",28,20,"F","OL"
"959",49,39,"M","DM"
"960",39,38,"M","DM"
"961",89,29,"M","SH"
"962",24,20,"F","OT"
"963",43,35,"M","DM"
"964",36,36,"F","DM"
"965",41,36,"F","DM"
"966",40,39,"F","DM"
"967",21,20,"M","OT"
"968",37,34,"F","DM"
"969",36,35,"F","DM"
"970",111,50,"F","DS"
"971",45,37,"M","DM"
"972",132,52,"M","DS"
"973",107,48,"F","DS"
"974",119,50,"M","DS"
"975",121,51,"F","DS"
"976",111,49,"M","DS"
"977",37,20,"M","OL"
"978",37,37,"M","DM"
"979",26,20,"M","OL"
"980",38,35,"M","DM"
"981",105,47,"F","DS"
"982",41,36,"M","DM"
"983",38,36,"F","DM"
"984",22,20,"F","OT"
"985",121,46,"F","DS"
"986",38,36,"F","DM"
"987",153,32,"M","NL"
"988",43,36,"F","DM"
"989",22,20,"M","PE"
"990",40,37,"F","DM"
"991",41,38,"F","DM"
"992",37,37,"F","DM"
"993",23,20,"F","OT"
"994",28,20,"M","OT"
"995",28,21,"F","OL"
"996",8,17,"M","RM"
"997",34,21,"M","OL"
